  #        id       flux         zspecflag    redshift       detectprob  soft/hard_ratio  optical_id
         201   6.71000019E-15           0   1.26999998               1  0.567809224             201
         202   1.89000003E-14           1   1.31900001               1   6.40211627E-02         202
         203   1.05999998E-14           1  0.374000013               1  0.412264168             203
         204   1.65000002E-14           0   1.17999995               1  0.386666656             204
         205   1.12999997E-14           0  0.759999990               1  0.195575222             205
         206   1.40000003E-14           1  0.672999978               1  0.155714288             206
         207   3.79999987E-14           1  0.820999980               1  0.671052635             207
         209   9.96999961E-15           0   2.00000000               1  0.186559692             209
         210   1.05000000E-14           0   1.24000001               1  0.383809507             210
         211   8.72000006E-15           1   1.18799996               1  0.353211015             211
         212   2.58000002E-14           1  0.930999994               1   0.00000000             212
         214   5.92000009E-15           1  0.864000022               1  0.376689166             214
         216   1.09000003E-14           1   2.02399993               1  0.517431140             216
         217   1.51999995E-14           1  0.660000026               1   6.42105266E-02         217
         219   9.91000003E-15           1   1.24800003               1  0.462159425             219
         220   1.56999996E-14           0   2.14000010               1  0.395541400             220
         221   1.70000004E-14           1   1.14400005               1  0.647058845             221
         222   8.69999992E-15           1  0.337000012               1  0.797701180             222
         223   5.89999995E-15           0   1.71000004               1  0.433898300             223
         227   1.28000002E-14           0   1.54999995               1  0.115625001             227
         228   6.03000002E-15           1   2.03900003               1  0.721393049             228
         229   1.84999992E-14           1  0.864000022               1  0.259999990             229
         230   1.10000001E-14           1  0.734000027               1  0.170909092             230
         231   8.07999975E-15           1   1.42799997               1  0.747524798             231
         233   9.83000031E-15           0   1.92999995               1  0.308240056             233
         234   1.42000000E-14           1  0.643999994               1   6.23943657E-02         234
         235   1.12999997E-14           0   2.22000003               1  0.395575225             235
         237   5.50000007E-15           1   2.48499990               1  0.278181791             237
         238   9.45000016E-15           1  0.504999995               1  0.248677239             238
         239   1.12999997E-14           1   1.64199996               1  0.649557471             239
         240   5.16000020E-15           0  0.959999979               1  0.312015504             240
         242   5.46999986E-15           1  0.838000000               1  0.464351028             242
         243   1.12999997E-14           0  0.980000019               1  0.647787631             243
         245   5.17999992E-15           1   2.45900011               1  0.339768350             245
         246   1.09000003E-14           0   2.29999995               1   8.08256865E-02         246
         247   5.91000002E-15           0   1.95000005               1  0.230118439             247
         248   8.76000034E-15           0   1.88000000               1  0.187214598             248
         249   7.52000001E-15           1   1.32500005               1  0.339095771             249
         252   1.21000003E-14           1   1.23800004               1  0.106611572             252
         253   8.40000033E-15           1  0.479999989               1  0.271428585             253
         255   1.18999998E-14           1  0.187000006               1   0.00000000             255
         257   1.12999997E-14           1  0.490000010               1   0.00000000             257
         258   1.27000004E-14           0   1.59000003               1   0.00000000             258
         262   9.44000009E-15           0   3.07999992               1  0.602754235             262
         263   1.16000002E-14           0   1.72000003               1  0.505172431             263
         264   6.49999997E-15           0   1.59000003               1  0.393846154             264
         265   7.20000028E-15           1   1.16100001               1  0.874999940             265
         266   1.22000002E-14           0  0.959999979               1   9.26229507E-02         266
         268   6.94000013E-15           1   1.00800002               1  0.547550380             268
         269   1.04000001E-14           1  0.836000025               1  0.273076922             269
         271   1.12999997E-14           0   1.51999998               1  0.402654886             271
         272   6.17999982E-15           0   1.99000001               1  0.189320400             272
         274   9.33000015E-15           1  0.677999973               1  0.188638791             274
         275   1.70000004E-14           1   1.85599995               1  0.641176462             275
         277   1.09000003E-14           1  0.694999993               1  0.557798147             277
         279   5.40999986E-15           0   1.64999998               1  0.338262498             279
         280   1.17000000E-14           0   1.51999998               1   0.00000000             280
         281   1.23999999E-14           1   1.17700005               1  0.516935527             281
         282   7.28000000E-15           1   1.73800004               1  0.409340650             282
         283   1.53000002E-14           1   1.02999997               1  0.501307189             283
         284   7.82999967E-15           0   1.47000003               1  0.355044723             284
         288   9.36000036E-15           1   1.10599995               1  0.623931587             288
         291   9.12999958E-15           0  0.930000007               1  0.136911288             291
         292   2.54000007E-14           1  0.617999971               1   6.85039312E-02         292
         293   4.33999997E-14           1  0.444999993               1  0.210368648             293
         294   1.51999995E-14           0   1.63000000               1  0.496710569             294
         296   5.87999981E-15           1  0.569999993               1  0.343537420             296
         297   1.02000004E-14           1  0.439000010               1  0.495097995             297
         298   4.75999990E-15           1   1.86899996               1  0.529411793             298
         301   5.10999985E-15           0   2.54999995               1  0.475538194             301
         302   6.83000020E-15           1  0.186000004               1  0.279648602             302
         304   4.70999997E-15           1   1.60699999               1  0.335456491             304
         306   5.75999980E-15           0  0.949999988               1  0.435763896             306
         308   6.77000019E-15           1   1.51400006               1  0.475627750             308
         309   3.29999992E-15           0   1.76999998               1  0.654545486             309
         310   2.27999992E-14           0   2.67000008               1  0.565789521             310
         313   1.11999999E-14           0  0.970000029               1  0.158928573             313
         314   6.36999989E-15           1   2.70199990               1  0.331240177             314
         318   7.96999982E-15           1   3.02900004               1  0.188205764             318
         319   6.49999997E-15           1   1.63900006               1   0.00000000             319
         320   4.69999990E-15           1   1.59000003               1  0.561702132             320
         323   2.87000004E-14           1  0.838999987               1  0.139721259             323
         327   6.65000019E-15           0   1.90999997               1  0.157894745             327
         328   6.43999997E-15           1   1.66100001               1  0.256211162             328
         329   5.69000015E-15           1   1.16600001               1  0.720562339             329
         331   9.74999974E-15           0   2.39000010               1  0.390769243             331
         337   8.73000013E-15           0   1.72000003               1  0.359679282             337
         338   9.24000036E-15           0   1.54999995               1  0.136363640             338
         339   1.09000003E-14           1  0.518000007               1  0.540366948             339
         341   1.15000003E-14           1   1.36000001               1  0.572173893             341
         345   7.55000022E-15           1   1.81299996               1  0.333774835             345
         346   6.67999998E-15           0   2.54999995               1  0.220059872             346
         348   9.70000024E-15           0  0.769999981               1   0.00000000             348
         349   5.59999994E-15           1   3.09500003               1  0.314285725             349
         351   7.81999960E-15           0   2.20000005               1  0.341432244             351
         352   5.63999980E-15           1  0.165000007               1  0.294326246             352
         353   8.56999984E-15           1   1.11199999               1  0.273045510             353
         355   7.08999992E-15           0   1.46000004               1   0.00000000             355
         357   1.97999999E-14           1   2.15100002               1  0.111111112             357
         359   1.11000000E-14           1   1.14900005               1  0.479279280             359
         362   6.89000020E-15           0   1.49000001               1  0.171262696             362
         364   7.66000016E-15           1  0.763999999               1  0.201044381             364
         367   8.25000011E-15           0  0.920000017               1  0.122424237             367
         371   8.77999964E-15           1  0.901000023               1  0.111275628             371
         374   6.11999981E-15           0   1.13999999               1  0.330065370             374
         375   8.40000033E-15           1   2.03200006               1  0.513095200             375
         377   7.93999960E-15           0   1.30999994               1   0.00000000             377
         378   1.05000000E-14           0  0.819999993               1  0.189523801             378
         379   6.82000012E-15           0   1.73000002               1  0.174486801             379
