#          name  xid     coordra    coorddec    fluxsoft     fluxmed    fluxhard flagcat       hr       chid	flagnew       id    idnew        r        i     knew     ch1new     ch2new     ch3new     ch4new       flux24	zspec  class flagredshift       zphot
#	#	#
XMMC_149.95559+2.50211   71 149.9555900   2.5020380    1.34e-14    2.97e-14    1.59e-14     1    -0.38      566 	    1  2383101  1484423    22.47    21.86    20.66      29.55      35.92      45.11      50.48       0.15 	   1.458      1      5     1.45  
XMMC_150.37402+2.54407   72 150.3742500   2.5441580    6.91e-15    1.38e-14   -2.64e-14     1    -0.43      632 	    1  2297510  1430479    21.60    20.55    19.67      89.42     109.04     152.04     219.42       1.41 	   0.825      1      3     0.15  
XMMC_150.44963+2.24640   74 150.4495800   2.2464530    1.84e-14    2.38e-14    1.26e-14     1    -0.59      536 	    1  1531447   950217    20.71    20.59    19.81      77.65      91.84     122.08     151.30       0.45 	   0.882      1      2     0.89  
XMMC_150.13169+1.79908   75 150.1317300   1.7994240    1.46e-14    2.54e-14    1.58e-14     1    -0.49      259 	    1   918876   568521    21.35    20.91    20.60      26.58      37.93      53.09      72.18       0.18 	   1.679      1      2     1.67  
XMMC_150.23453+2.36235   76 150.2355100   2.3617630    8.81e-15    1.30e-14   -2.25e-14     1    -0.55      970 	    1  1944397  1210099    23.69    22.92    20.84      16.16      21.43      35.62      67.03       0.30 	 -99.000    -99    -99     2.50  
XMMC_150.11924+2.29571   78 150.1195900   2.2959080    7.30e-15    1.65e-14    9.09e-15     1    -0.38       86 	    1  1961169  1221784    23.82    23.08    20.55      32.13      41.45      51.75      60.31       0.72 	 -99.000    -99    -99     2.02  
XMMC_150.35375+2.34217   79 150.3535800   2.3421950    1.25e-14    2.10e-14    1.03e-14     1    -0.49      581 	    1  1949636  1213978    21.18    20.83    20.32      30.51      40.35      50.61      74.31       0.14 	   1.708      1      5     1.75  
XMMC_150.40298+2.39002   80 150.4029900   2.3899110    6.47e-15    1.00e-14   -1.79e-14     1    -0.53      585 	    1  1898493  1184127    24.59    23.40    20.35      49.97      64.03      83.75     111.68       0.54 	 -99.000    -99    -99     1.15  
XMMC_150.27318+1.93401   81 150.2733600   1.9342290    1.41e-14    3.58e-14    2.01e-14     1    -0.34      373 	    1   848312   522737    23.82    21.94    19.68      76.61      67.78      73.86      83.26       0.25 	   0.915      2      3     1.72  
XMMC_150.35180+2.67789   83 150.3513800   2.6782740    7.47e-15    1.51e-14   -1.87e-14     1    -0.43      -99 	    1  2661451  1654328    21.21    21.21    20.59      23.41      29.78      38.89      49.70       0.22 	   2.754      1      5     2.74  
XMMC_150.29975+2.50688   84 150.2997200   2.5069170    6.01e-15    9.76e-15   -2.13e-14     1    -0.51      119 	    1  2305960  1435389    21.29    21.08    21.01      22.43      34.47      55.81      83.66       0.32 	   1.495      1      2     1.52  
XMMC_150.32366+2.55240   85 150.3237700   2.5526180    4.09e-15    6.54e-15   -1.89e-14     1    -0.51      120 	    1  2295100  1429367    23.13    22.41    21.26      24.10      28.97      42.01      50.92       0.15 	   1.001      2      3     1.09  
XMMC_150.50917+2.69922   86 150.5092400   2.6994180    1.64e-14    2.17e-14   -3.63e-14     1    -0.59      -99 	    1  2616531  1626313    21.54    21.15    20.19      44.20      50.22      65.59      84.41       0.37 	   0.794      1      5     0.81  
XMMC_150.10166+1.84791   87 150.1016400   1.8483590    8.42e-15    1.57e-14    8.70e-15     1    -0.45      255 	    1   907074   561413    19.99    19.44    19.39      90.76     127.56     169.37     230.44       0.59 	   1.664      1      1     1.67  
XMMC_150.51793+2.52253   88 150.5181400   2.5216750    1.44e-14    2.94e-14    2.21e-14     1    -0.43      -99 	    1  2263197  1409935    22.76    22.50    20.70      30.90      43.49      70.36     124.44       0.40 	   2.779      1      3     2.74  
